anchor_id	domain	marker_gene	phylum	representative_genus	representative_name	accession	source	rumen_relevance	tree_role	recommended_action	notes
PHYLOSELECT_REF_Bacillota_Ruminococcus	Bacteria	16S_rRNA	Bacillota	Ruminococcus	Ruminococcus albus 7	NR_025930	NCBI_RefSeq	High	core_rumen_anchor	Keep	Strong anchor for cellulolytic Bacillota; rumen fibre degrader.
PHYLOSELECT_REF_Bacillota_Clostridium	Bacteria	16S_rRNA	Bacillota	Clostridium	Clostridium butyricum ATCC 19398	NR_074545	NCBI_RefSeq	Moderate	broad_bacillota_anchor	Keep	Type-genus Clostridia scaffold; not specifically rumen-targeted but useful for broad Bacillota placement.
PHYLOSELECT_REF_Bacillota_Bacillus	Bacteria	16S_rRNA	Bacillota	Bacillus	Bacillus subtilis subsp. subtilis str. 168	NR_027552	NCBI_RefSeq	Low	broad_bacillota_anchor	Optional	Non-rumen Bacilli model; helps broad topology but contributes little rumen-specific signal.
PHYLOSELECT_REF_Bacillota_Lactobacillus	Bacteria	16S_rRNA	Bacillota	Lactobacillus	Lactobacillus acidophilus ATCC 4356	NR_075051	NCBI_RefSeq	Moderate	gut_bacillota_anchor	Keep_or_replace	Gut/lactic acid bacteria anchor; rumen relevance depends on sample context.
PHYLOSELECT_REF_Bacillota_Butyrivibrio	Bacteria	16S_rRNA	Bacillota	Butyrivibrio	Butyrivibrio fibrisolvens D1	NR_044858	NCBI_RefSeq	High	core_rumen_anchor	Keep	Strong rumen cellulolytic/hemicellulolytic Lachnospiraceae anchor.
PHYLOSELECT_REF_Bacteroidota_Bacteroides	Bacteria	16S_rRNA	Bacteroidota	Bacteroides	Bacteroides fragilis ATCC 25285	NR_041386	NCBI_RefSeq	Moderate	broad_bacteroidota_anchor	Keep_or_replace	Human gut Bacteroidota anchor; useful broad scaffold but less rumen-specific than Prevotella.
PHYLOSELECT_REF_Bacteroidota_Prevotella	Bacteria	16S_rRNA	Bacteroidota	Prevotella	Prevotella bryantii B14	NR_044825	NCBI_RefSeq	High	core_rumen_anchor	Keep	Dominant rumen Bacteroidota/Prevotellaceae anchor.
PHYLOSELECT_REF_Bacteroidota_Porphyromonas	Bacteria	16S_rRNA	Bacteroidota	Porphyromonas	Porphyromonas gingivalis ATCC 33277	NR_040847	NCBI_RefSeq	Low	broad_bacteroidota_anchor	Optional	Oral-associated Bacteroidota; useful for breadth but not rumen-specific.
PHYLOSELECT_REF_Pseudomonadota_Ecoli	Bacteria	16S_rRNA	Pseudomonadota	Escherichia	Escherichia coli K-12	NR_102804	NCBI_RefSeq	Low	broad_pseudomonadota_anchor	Optional	Classic Gamma-proteobacteria scaffold; not a target rumen anchor.
PHYLOSELECT_REF_Pseudomonadota_Helicobacter	Bacteria	16S_rRNA	Pseudomonadota	Helicobacter	Helicobacter pylori 26695	NR_073694	NCBI_RefSeq	Low	broad_pseudomonadota_anchor	Optional	Epsilon/campylobacter-lineage scaffold; not rumen-focused.
